trade_id,entry_time,timeframe,arm_r,close_threshold_r,r,action_r,delta_r,tail_gt5
2024-07-18 17:00:00+00:00|SHORT|TBX7A|3398.15|13.81,2024-07-18 17:00:00+00:00,1H,1.0,0.25,-0.95,-0.6676321506154815,0.2823678493845184,False
2024-07-22 13:00:00+00:00|SHORT|TBX7A|3465.35|21.39,2024-07-22 13:00:00+00:00,1H,1.0,0.25,-0.55,0.24029920523608567,0.7902992052360858,False
2024-08-05 14:00:00+00:00|LONG|TBX0|2401.38|67.83,2024-08-05 14:00:00+00:00,1H,1.0,0.25,-0.41,0.24679345422379156,0.6567934542237915,False
2024-08-23 00:00:00+00:00|LONG|TBX7B|2637.42|11.89,2024-08-23 00:00:00+00:00,1H,1.0,0.25,1.22,0.0,-1.22,False
2024-09-26 12:00:00+00:00|LONG|TBX0 (a)|2629.11|9.48,2024-09-26 12:00:00+00:00,1H,1.0,0.25,-0.97,0.0010548523206501616,0.9710548523206501,False
2024-10-18 05:00:00+00:00|LONG|TBX7A|2626.86|9.0,2024-10-18 05:00:00+00:00,1H,1.0,0.25,-0.18,-0.005555555555575766,0.17444444444442422,False
2024-10-18 20:00:00+00:00|SHORT|TBX0|2642.62|10.4,2024-10-18 20:00:00+00:00,1H,1.0,0.25,-0.81,0.23942307692305592,1.049423076923056,False
2024-10-25 17:00:00+00:00|SHORT|TBX7A|2485.8|30.26,2024-10-25 17:00:00+00:00,1H,1.0,0.25,0.6,-0.5822868473231954,-1.1822868473231953,False
2024-10-27 21:00:00+00:00|LONG|TBX7B|2510.74|14.52,2024-10-27 21:00:00+00:00,1H,1.0,0.25,-0.74,0.18319559228652268,0.9231955922865227,False
2024-12-15 19:00:00+00:00|LONG|TBX0 (a)|3902.12|8.15,2024-12-15 19:00:00+00:00,1H,1.0,0.25,-0.97,0.0,0.97,False
2024-12-23 15:00:00+00:00|LONG|TBX0 (a) or TBX1|3319.6|62.22,2024-12-23 15:00:00+00:00,1H,1.0,0.25,1.05,-0.07794921247187253,-1.1279492124718726,False
2024-12-27 01:00:00+00:00|LONG|TBX0|3362.41|28.29,2024-12-27 01:00:00+00:00,1H,1.0,0.25,-0.63,0.21986567691764775,0.8498656769176478,False
2025-02-18 04:00:00+00:00|SHORT|TBX0|2700.39|22.15,2025-02-18 04:00:00+00:00,1H,1.0,0.25,-0.13,0.19367945823927601,0.323679458239276,False
2025-03-16 14:00:00+00:00|LONG|TBX0|1895.93|19.78,2025-03-16 14:00:00+00:00,1H,1.0,0.25,-0.32,0.0910010111223435,0.4110010111223435,False
2025-05-04 22:00:00+00:00|SHORT|TBX7A|1816.93|11.66,2025-05-04 22:00:00+00:00,1H,1.0,0.25,0.38,0.11234991423672151,-0.2676500857632785,False
2025-06-16 12:00:00+00:00|SHORT|TBX0|2614.14|6.1,2025-06-16 12:00:00+00:00,1H,1.0,0.25,-1.0,-0.02131147540985396,0.978688524590146,False
2025-07-11 19:00:00+00:00|SHORT|TBX0 (a) or TBX1|2973.75|44.69,2025-07-11 19:00:00+00:00,1H,1.0,0.25,0.08,0.2183933765943213,0.13839337659432127,False
2025-12-15 01:00:00+00:00|LONG|TBX7A|3107.41|22.55,2025-12-15 01:00:00+00:00,1H,1.0,0.25,1.18,0.0035476718403515406,-1.1764523281596484,False
2026-02-19 01:00:00+00:00|LONG|TBX0|1965.99|13.16,2026-02-19 01:00:00+00:00,1H,1.0,0.25,0.04,0.19148936170212627,0.15148936170212626,False
2026-03-30 04:00:00+00:00|LONG|TBX7B|2047.26|14.58,2026-03-30 04:00:00+00:00,1H,1.0,0.25,0.74,0.23731138545952052,-0.5026886145404794,False
2026-03-31 12:00:00+00:00|LONG|TBX7B|2046.78|10.0,2026-03-31 12:00:00+00:00,1H,1.0,0.25,0.2,0.0,-0.2,False
2026-04-16 13:00:00+00:00|SHORT|TBX7A|2307.14|21.42,2026-04-16 13:00:00+00:00,1H,1.0,0.25,-1.0,0.15359477124182835,1.1535947712418284,False
2026-06-03 19:00:00+00:00|SHORT|TBX7B|1802.41|22.88,2026-06-03 19:00:00+00:00,1H,1.0,0.25,-0.84,0.24606643356643834,1.0860664335664383,False
2026-06-21 20:00:00+00:00|SHORT|TBX7A|1720.56|9.0,2026-06-21 20:00:00+00:00,1H,1.0,0.25,0.11,0.08444444444444343,-0.025555555555556567,False
2021-02-08 23:15:00+00:00|LONG|TBX0 (a)|1739.4794|35.35,2021-02-08 23:15:00+00:00,15M,1.0,0.5,-0.34,0.14824757974008065,0.4882475797400807,False
2021-04-09 09:45:00+00:00|LONG|TBX0|2080.0371|10.7,2021-04-09 09:45:00+00:00,15M,1.0,0.5,-0.25,0.39279042450267876,0.6427904245026788,False
2021-07-18 22:15:00+00:00|SHORT|TBX0|1889.4399|24.79,2021-07-18 22:15:00+00:00,15M,1.0,0.5,-0.44,0.3997531162418361,0.8397531162418361,False
2021-10-25 15:30:00+00:00|LONG|TBX7A|4166.8|56.47,2021-10-25 15:30:00+00:00,15M,1.0,0.5,0.29,0.40127501328138576,0.11127501328138578,False
2021-11-15 08:30:00+00:00|LONG|TBX0 (a)|4706.1054|33.72,2021-11-15 08:30:00+00:00,15M,1.0,0.5,-0.29,0.3269450893929578,0.6169450893929578,False
2021-12-02 03:00:00+00:00|SHORT|TBX0 (a)|4547.168|71.52,2021-12-02 03:00:00+00:00,15M,1.0,0.5,-0.58,0.4229307490888314,1.0029307490888313,False
2022-01-17 08:30:00+00:00|SHORT|TBX0|3250.2418|41.19,2022-01-17 08:30:00+00:00,15M,1.0,0.5,1.17,0.4601060246861354,-0.7098939753138646,False
2022-03-13 11:30:00+00:00|SHORT|TBX7A|2574.0394|16.89,2022-03-13 11:30:00+00:00,15M,1.0,0.5,-0.31,0.3842159052896487,0.6942159052896487,False
2022-06-02 13:00:00+00:00|SHORT|TBX0 (a)|1819.9813|17.69,2022-06-02 13:00:00+00:00,15M,1.0,0.5,-0.47,-0.30349045953183645,0.16650954046816352,False
2022-06-09 11:45:00+00:00|SHORT|TBX7A|1805.4677|20.46,2022-06-09 11:45:00+00:00,15M,1.0,0.5,0.05,0.4827817285543697,0.4327817285543697,False
2022-06-14 12:30:00+00:00|LONG|TBX0 (a) or TBX1|1195.4864|36.07,2022-06-14 12:30:00+00:00,15M,1.0,0.5,0.05,0.4736234091926098,0.4236234091926098,False
2022-09-16 12:45:00+00:00|SHORT|TBX7A|1457.9013|19.75,2022-09-16 12:45:00+00:00,15M,1.0,0.5,0.78,0.31803887541382553,-0.4619611245861745,False
2022-12-21 08:30:00+00:00|LONG|TBX7A|1213.1288|4.94,2022-12-21 08:30:00+00:00,15M,1.0,0.5,-0.19,0.44760555858378254,0.6376055585837825,False
