n,wins,losses,zeros,wr,sum_r,expectancy,median,avg_win,avg_loss,payoff,pf,max_dd,max_loss_streak,best,worst,tail_gt5,tail_r_gt5,label,med_cf_mfe,med_cf_mfe_noret,pct_cf_ge1,pct_cf_ge2,pct_wick,med_beyond_r,med_bars_to_stop
126,0,124,2,0.0,-52.510000000000005,-0.4167460317460318,-0.405,,-0.423467741935484,,0.0,-52.14000000000001,76,0.0,-0.92,0,0.0,fate=not_applicable|limit_retest,,,,,0.0,0.0,
193,0,192,1,0.0,-80.97,-0.4195336787564767,-0.38,,-0.42171875,,0.0,-80.26,166,0.0,-0.92,0,0.0,fate=not_applicable|market_like,,,,,0.0,0.0,
54,0,54,0,0.0,-44.42,-0.8225925925925927,-0.935,,-0.8225925925925927,,0.0,-43.500000000000014,54,-0.02,-1.38,0,0.0,fate=stop_hunt|limit_retest,2.435045834347365,1.0346534653465693,100.0,57.407407407407405,81.48148148148148,0.10800160040109485,6.0
40,0,40,0,0.0,-36.33,-0.90825,-0.97,,-0.90825,,0.0,-35.169999999999995,40,-0.26,-1.82,0,0.0,fate=stop_hunt|market_like,3.0143194506152406,0.912960306206251,100.0,77.5,87.5,0.09041350418246374,5.0
1,0,1,0,0.0,-1.2,-1.2,-1.2,,-1.2,,0.0,0.0,1,-1.2,-1.2,0,0.0,fate=stop_hunt|unknown,1.0942624246480062,,100.0,0.0,100.0,0.0015197731231844092,4.0
66,66,0,0,100.0,522.8800000000001,7.922424242424244,3.005,7.922424242424244,,,,0.0,0,96.52,0.04,25,452.39000000000004,fate=winner_survived_stop_touch|limit_retest,5.463217664525933,4.584783173201765,96.96969696969697,90.9090909090909,45.45454545454545,0.5068187986559298,0.0
13,13,0,0,100.0,106.4,8.184615384615386,2.13,8.184615384615386,,,,0.0,0,50.35,0.07,4,93.88,fate=winner_survived_stop_touch|market_like,5.514588176632599,4.96681174209124,92.3076923076923,84.61538461538461,76.92307692307693,0.41507678508450674,0.0
27,0,27,0,0.0,-28.56,-1.0577777777777777,-1.0,,-1.0577777777777777,,0.0,-27.590000000000003,27,-0.28,-2.33,0,0.0,fate=ambiguous_stop|limit_retest|15M,0.3595018949648091,-0.3088148177154558,18.51851851851852,11.11111111111111,62.96296296296296,0.12109003884371705,3.0
51,0,51,0,0.0,-41.92,-0.8219607843137255,-0.95,,-0.8219607843137255,,0.0,-41.32000000000001,51,-0.2,-1.16,0,0.0,fate=ambiguous_stop|limit_retest|1H,0.6053284123776266,0.1818181818181887,27.450980392156865,19.607843137254903,70.58823529411765,0.2289156626506077,6.0
61,0,61,0,0.0,-47.63,-0.7808196721311476,-0.91,,-0.7808196721311476,,0.0,-47.419999999999995,61,-0.06,-1.71,0,0.0,fate=ambiguous_stop|market_like|15M,0.5179339813773396,0.442813455657479,18.0327868852459,11.475409836065573,67.21311475409836,0.10556292502718301,4.5
9,0,9,0,0.0,-9.01,-1.001111111111111,-0.97,,-1.001111111111111,,0.0,-7.93,9,-0.92,-1.21,0,0.0,fate=ambiguous_stop|market_like|1H,1.9492307692307804,0.7377179080824046,77.77777777777779,44.44444444444444,44.44444444444444,0.5007923930269458,8.0
66,66,0,0,100.0,271.23,4.109545454545454,1.575,4.109545454545454,,,,0.0,0,70.0,0.01,14,200.35000000000002,fate=clean_winner|limit_retest|15M,,,,,0.0,0.0,
105,105,0,0,100.0,289.55,2.757619047619048,1.47,2.757619047619048,,,,0.0,0,33.25,0.02,14,160.82,fate=clean_winner|limit_retest|1H,,,,,0.0,0.0,
172,172,0,0,100.0,501.15999999999997,2.9137209302325577,1.32,2.9137209302325577,,,,0.0,0,82.8,0.01,22,287.78000000000003,fate=clean_winner|market_like|15M,,,,,0.0,0.0,
